"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"492331194","10315 STONEHAM ST","Bakersfield","CA",93314,-119.117225298,35.4334588006,-119.117361354,35.4332820704,-119.117089243,35.4336355304,"0101","10315 STONEHAM ST,Bakersfield,CA,93314",6029
"387862055","5800 OPAL VALLEY CT",NA,NA,93306,-118.85571452,35.4064963995,-118.855991993,35.4063153087,-118.855496235,35.4066995934,"0101","5800 OPAL VALLEY CT,NA,NA,93306",6029
"445 015001300","24556 SYBIL AVE","Hayward","CA",94542,-122.07518613,37.6635213362,-122.07550218,37.66333489,-122.074861104,37.6637034407,"1100","24556 SYBIL AVE,Hayward,CA,94542",6001
"11902700720000","4200 ARCHEAN WAY","Sacramento","CA",95823,-121.456495349,38.4759154125,-121.456612443,38.475771534,-121.456377498,38.4760592547,NA,"4200 ARCHEAN WAY,Sacramento,CA,95823",6067
"6022005006","136 E 76th St",NA,"CA",90003,-118.272514005,33.9710191844,-118.272613897,33.9708058288,-118.272414101,33.9712325741,"0200","136 E 76th St,NA,CA,90003",6037
"7174012012","5453 Canehill Ave","Lakewood","CA",90713,-118.111295104,33.856424017,-118.111486419,33.8563508206,-118.111103672,33.856497248,"0101","5453 Canehill Ave,Lakewood,CA,90713",6037
"348070145","4522 ERSKINE CREEK RD",NA,NA,93205,-118.455355547,35.5965520658,-118.456761843,35.5951395871,-118.453929154,35.5980913662,"0106","4522 ERSKINE CREEK RD,NA,NA,93205",6029
"5777009008","441 Drake Rd",NA,"CA",91007,-118.064716639,34.1355262329,-118.064994703,34.1353549972,-118.064424562,34.1356933777,"0101","441 Drake Rd,NA,CA,91007",6037
"8517019025","808 E Lime Ave","Monrovia","CA",91016,-117.988285112,34.1475163968,-117.988410539,34.1473234755,-117.988159276,34.1477095549,"0100","808 E Lime Ave,Monrovia,CA,91016",6037
"2565014146","10130 Commerce Ave","Tujunga","CA",91042,-118.288276094,34.2531280388,-118.288512725,34.2530268852,-118.288039495,34.2532291842,"010C","10130 Commerce Ave,Tujunga,CA,91042",6037
