"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"08322157","3132 NAVION CT","Cameron Park","CA",95682,-120.987034993,38.6748323552,-120.987415838,38.6745747246,-120.986679912,38.6751328386,"00","3132 NAVION CT,Cameron Park,CA,95682",6017
"3555031J","351 GUERRERO ST","San Francisco","CA",94103,-122.423852878,37.7656438522,-122.424044641,37.7655927736,-122.423658101,37.7656932837,NA,"351 GUERRERO ST,San Francisco,CA,94103",6075
"2163025026","5161 Donna Ave","Tarzana","CA",91356,-118.548548531,34.1646130919,-118.548920666,34.1643902295,-118.548083875,34.1647666873,"0101","5161 Donna Ave,Tarzana,CA,91356",6037
"8646020019","502 Myrtle Ave",NA,"CA",91741,-117.859086211,34.1330917572,-117.859256661,34.1329492463,-117.858915619,34.1332350395,"0100","502 Myrtle Ave,NA,CA,91741",6037
"100911234","9425 RAMONA AVE","Montclair","CA",91763,-117.70665924,34.082938097,-117.706868919,34.0828462906,-117.706452361,34.0830265719,"510","9425 RAMONA AVE,Montclair,CA,91763",6071
"321272130","16912 CYPRESS ST",NA,NA,93283,-118.220574048,35.6901588967,-118.220708565,35.6900120222,-118.220438446,35.690306389,"0106","16912 CYPRESS ST,NA,NA,93283",6029
"206610011","1572 COLCHESTER ST","Blackhawk","CA",94506,-121.895436995,37.7938121113,-121.8956197,37.7937161818,-121.895254292,37.7939080406,NA,"1572 COLCHESTER ST,Blackhawk,CA,94506",6013
"084C072404800","20253 MEADOWLARK DR","Castro Valley","CA",94546,-122.070573655,37.6969156812,-122.070729006,37.6968380813,-122.07041948,37.6969949976,"1100","20253 MEADOWLARK DR,Castro Valley,CA,94546",6001
"5405027","137 APOLLO ST","San Francisco","CA",94124,-122.398487972,37.7310274437,-122.398665654,37.7309694379,-122.398310206,37.731085456,NA,"137 APOLLO ST,San Francisco,CA,94124",6075
"8044029018","13904 Ramhurst Dr","La Mirada","CA",90638,-118.036334868,33.9155473443,-118.036499228,33.9152622565,-118.036169293,33.915833407,"0500","13904 Ramhurst Dr,La Mirada,CA,90638",6037
